이름,손잡이,나이,연봉,war
샘슨,우,31,50000,1.69
박세웅,우,22,11000,2.74
김원중,우,25,10000,0.98
이인복,우,25,3000,0.38
서준원,우,31,4600,1.31
박진형,우,22,9000,0.15
김대우,우,20,2900,0.92
김건국,우,21,5400,0.65
진명호,우,26,12500,0.08
스트레일리,우,28,50000,8.18
김준태,우,25,3800,2.18
정보근,우,28,2900,-1.47
오윤석,우,21,4000,1.02
마차도,우,21,30000,4.53
신본기,우,20,12500,0.13
한동희,우,28,4700,2.74
김동한,우,33,4500,-0.24
정훈,우,31,6400,2.29
김재유,우,26,2900,0.79
허일,우,26,4100,-0.69
우규민,우,29,70000,0.17
뷰캐넌,우,33,60000,5.71
김대우,우,33,2900,0.92
심창민,우,37,28000,-0.18
김윤수,우,32,3700,0.16
장필준,우,20,21500,0.25
원태인,우,33,8000,2.44
임현준,좌,27,11000,0.55
이상민,좌,24,3200,0.04
김응민,우,34,3200,-0.01
김도환,우,24,5000,-0.25
이성규,우,33,4300,-0.27
김상수,우,21,30000,0.17
김호재,우,25,4000,1.25
박계범,우,39,5500,-0.79
이원석,우,22,30000,0.14
강한울,우,39,12000,0.65
구자욱,우,30,28000,3.96
박해민,우,23,30000,5.48
김헌곤,우,32,19000,-0.05
김동엽,우,30,13500,1.85
송준석,좌,30,4000,0.27
팔카,좌,25,10000,-1.25
김택형,좌,32,3700,-0.32
김세현,우,31,12000,-0.32
신재웅,좌,26,11000,-0.01
이태양,우,26,14000,0.37
서진용,우,20,20000,0.36
이건욱,우,28,3000,1.84
핀토,우,26,45000,1.15
박민호,우,31,10000,1.45
문승원,우,21,25700,4.23
박종훈,우,31,29000,3.11
김태훈,좌,27,8000,0.23
서동민,우,26,3000,0.03
강지광,우,29,4800,0.02
이현석,우,31,3000,-1.11
채태인,좌,34,10000,0.65
유서준,우,32,3100,0.01
정현,우,26,3000,-0.79
김성현,우,35,21000,1.85
오태곤,우,32,8300,0.61
로맥,우,23,90000,5.01
김창평,우,25,3000,0.26
